killed_by,kill_distance,killer_placement,killer_name,killer_position_x,killer_position_y,map,match_id,time,victim_name,victim_placement,victim_position_x,victim_position_y,extra
S1897,#14,1,Ftbox_NkEr,455958.8125,252083.234375,https://opgg-pubg-static.akamaized.net/images/map/tiger/0x0x0.jpg,JwQTpc85CVDzAo7j_aZ9pVTd_cbAsoKNd1oMqPrlyjorfypY6UsIDy2nTJRSjEMr__bimK5HVAG7ebybOT3YjAts4JLJSKMiLlS_iADxw7CyxS7wHJ-lToksH_htvY0WysQJulPGkw8=,2023-02-25 01:00:25,Sandstorm_DLH,#14,455680.09375,251491.3125,07:12 06|||Sandstorm_DLH|||(#14)|||S1897 (7m)|||victim|||455680.09375|||251491.3125|||Sandstorm_DLH|||killer|||455958.8125|||252083.234375|||me
SLR,#4,1,Ftbox_NkEr,233251.875,274015.1875,https://opgg-pubg-static.akamaized.net/images/map/tiger/0x0x0.jpg,JwQTpc85CVDzAo7j_aZ9pVTd_cbAsoKNd1oMqPrlyjorfypY6UsIDy2nTJRSjEMr__bimK5HVAG7ebybOT3YjAts4JLJSKMiLlS_iADxw7CyxS7wHJ-lToksH_htvY0WysQJulPGkw8=,2023-02-25 01:00:25,sdhfjmhsjkfh123,#4,235785.09375,278461.46875,24:34 07|||sdhfjmhsjkfh123|||(#4)|||SLR (51m)|||victim|||235785.09375|||278461.46875|||sdhfjmhsjkfh123|||killer|||233251.875|||274015.1875|||me
SLR,#4,1,Ftbox_NkEr,233221.453125,274040.03125,https://opgg-pubg-static.akamaized.net/images/map/tiger/0x0x0.jpg,JwQTpc85CVDzAo7j_aZ9pVTd_cbAsoKNd1oMqPrlyjorfypY6UsIDy2nTJRSjEMr__bimK5HVAG7ebybOT3YjAts4JLJSKMiLlS_iADxw7CyxS7wHJ-lToksH_htvY0WysQJulPGkw8=,2023-02-25 01:00:25,timoy15,#4,230042.484375,277498.34375,24:35 08|||timoy15|||(#4)|||SLR (47m)|||victim|||230042.484375|||277498.34375|||timoy15|||killer|||233221.453125|||274040.03125|||me
M762,#2,1,Ftbox_NkEr,244329.15625,271014.75,https://opgg-pubg-static.akamaized.net/images/map/tiger/0x0x0.jpg,JwQTpc85CVDzAo7j_aZ9pVTd_cbAsoKNd1oMqPrlyjorfypY6UsIDy2nTJRSjEMr__bimK5HVAG7ebybOT3YjAts4JLJSKMiLlS_iADxw7CyxS7wHJ-lToksH_htvY0WysQJulPGkw8=,2023-02-25 01:00:25,Sang_wzhO_O,#2,245171.125,270706.65625,29:04 09|||Sang_wzhO_O|||(#2)|||M762 (9m)|||victim|||245171.125|||270706.65625|||Sang_wzhO_O|||killer|||244329.15625|||271014.75|||me
M762,#3,1,Ftbox_NkEr,245314.09375,272288.96875,https://opgg-pubg-static.akamaized.net/images/map/tiger/0x0x0.jpg,JwQTpc85CVDzAo7j_aZ9pVTd_cbAsoKNd1oMqPrlyjorfypY6UsIDy2nTJRSjEMr__bimK5HVAG7ebybOT3YjAts4JLJSKMiLlS_iADxw7CyxS7wHJ-lToksH_htvY0WysQJulPGkw8=,2023-02-25 01:00:25,Alloof_,#3,242388.546875,275763.5625,29:23 10|||Alloof_|||(#3)|||M762 (45m)|||victim|||242388.546875|||275763.5625|||Alloof_|||killer|||245314.09375|||272288.96875|||me
Grenade,#2,1,Ftbox_NkEr,245064.546875,271132.21875,https://opgg-pubg-static.akamaized.net/images/map/tiger/0x0x0.jpg,JwQTpc85CVDzAo7j_aZ9pVTd_cbAsoKNd1oMqPrlyjorfypY6UsIDy2nTJRSjEMr__bimK5HVAG7ebybOT3YjAts4JLJSKMiLlS_iADxw7CyxS7wHJ-lToksH_htvY0WysQJulPGkw8=,2023-02-25 01:00:25,kxwuh,#2,246038.640625,269277.9375,29:45 11|||kxwuh|||(#2)|||Grenade (21m)|||victim|||246038.640625|||269277.9375|||kxwuh|||killer|||245064.546875|||271132.21875|||me
Grenade,#7,,ShaGou_ZhiXi,600164.0625,552420.125,https://opgg-pubg-static.akamaized.net/images/map/miramar/0x0x0.jpg,JwQTpc85CVDzAo7j_aZ9pVLmNVRbURmvk1Oy99-yl_Vw9xqh55F_Z9Uw2AW-411oQfC5gZsaBvDaFRaVvoQA7six0EC6sh_BvNnOUj9jAtXX-mDlz7jYJVTsoO4GOaSrX5cB-xaNAGY=,2023-02-24 01:13:02,Ftbox_NkEr,8,601025.8125,550081.5625,23:05 killer|||ShaGou_ZhiXi|||(#7)|||Grenade (25m)|||victim|||601025.8125|||550081.5625|||me|||killer|||600164.0625|||552420.125|||ShaGou_ZhiXi
M762,#8,1,Ftbox_NkEr,725903.0625,328425.21875,https://opgg-pubg-static.akamaized.net/images/map/miramar/0x0x0.jpg,JwQTpc85CVDzAo7j_aZ9paWouz6d9WlszAGDj-iZMjgTkPgW15F3V3wlLG6HMdne6pZoo3GmWhrL6gbL-vnBiK0b9sXX4otrKAMcEBxHQ19I3fWdT6dXMmibXINDIfkD-vjJbm6FfwY=,2023-02-24 00:47:23,0635GJ888,#8,724920.9375,331115.5,15:10 01|||0635GJ888|||(#8)|||M762 (29m)|||victim|||724920.9375|||331115.5|||0635GJ888|||killer|||725903.0625|||328425.21875|||me
M762,#8,1,Ftbox_NkEr,725903.0625,328425.21875,https://opgg-pubg-static.akamaized.net/images/map/miramar/0x0x0.jpg,JwQTpc85CVDzAo7j_aZ9paWouz6d9WlszAGDj-iZMjgTkPgW15F3V3wlLG6HMdne6pZoo3GmWhrL6gbL-vnBiK0b9sXX4otrKAMcEBxHQ19I3fWdT6dXMmibXINDIfkD-vjJbm6FfwY=,2023-02-24 00:47:23,dagekuaidawoo,#8,725969.625,329184.21875,15:10 02|||dagekuaidawoo|||(#8)|||M762 (8m)|||victim|||725969.625|||329184.21875|||dagekuaidawoo|||killer|||725903.0625|||328425.21875|||me
SLR,#3,1,Ftbox_NkEr,684079.5,320949.15625,https://opgg-pubg-static.akamaized.net/images/map/miramar/0x0x0.jpg,JwQTpc85CVDzAo7j_aZ9paWouz6d9WlszAGDj-iZMjgTkPgW15F3V3wlLG6HMdne6pZoo3GmWhrL6gbL-vnBiK0b9sXX4otrKAMcEBxHQ19I3fWdT6dXMmibXINDIfkD-vjJbm6FfwY=,2023-02-24 00:47:23,koi_-yao,#3,676540.9375,321470.03125,18:57 03|||koi_-yao|||(#3)|||SLR (76m)|||victim|||676540.9375|||321470.03125|||koi_-yao|||killer|||684079.5|||320949.15625|||me
SLR,#3,1,Ftbox_NkEr,681720.1875,327631.8125,https://opgg-pubg-static.akamaized.net/images/map/miramar/0x0x0.jpg,JwQTpc85CVDzAo7j_aZ9paWouz6d9WlszAGDj-iZMjgTkPgW15F3V3wlLG6HMdne6pZoo3GmWhrL6gbL-vnBiK0b9sXX4otrKAMcEBxHQ19I3fWdT6dXMmibXINDIfkD-vjJbm6FfwY=,2023-02-24 00:47:23,koi_-0812,#3,679249.9375,326172.75,20:38 04|||koi_-0812|||(#3)|||SLR (29m)|||victim|||679249.9375|||326172.75|||koi_-0812|||killer|||681720.1875|||327631.8125|||me
death.WeapMG3_C,#7,1,Ftbox_NkEr,0,0,https://opgg-pubg-static.akamaized.net/images/map/erangel/0x0x0.jpg,JwQTpc85CVDzAo7j_aZ9pTC9X_iBn_9knu_ZtCZla_mJ-0T0IMmpK90wUOVK1G3GjHTagNB8iSha-7V22ONNjkUb0yOHIXgCwkmCjlDoGIXcvYLN8KTvrHWP2VT_rUPBfFg7H-oNx0M=,2023-02-23 05:34:24,TAO_LA_SIEUXAYDA,#7,389444.1875,183923.8125,11:33 01|||TAO_LA_SIEUXAYDA|||(#7)|||death.WeapMG3_C|||victim|||389444.1875|||183923.8125|||TAO_LA_SIEUXAYDA|||killer|||0|||0|||me
SLR,#7,,Kiran-Kuro,396192.90625,171562.6875,https://opgg-pubg-static.akamaized.net/images/map/erangel/0x0x0.jpg,JwQTpc85CVDzAo7j_aZ9pTC9X_iBn_9knu_ZtCZla_mJ-0T0IMmpK90wUOVK1G3GjHTagNB8iSha-7V22ONNjkUb0yOHIXgCwkmCjlDoGIXcvYLN8KTvrHWP2VT_rUPBfFg7H-oNx0M=,2023-02-23 05:34:24,Ftbox_NkEr,1,392565.625,180864,10:17 killer|||Kiran-Kuro|||(#7)|||SLR (100m)|||victim|||392565.625|||180864|||me|||killer|||396192.90625|||171562.6875|||Kiran-Kuro
